date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:25:48	705/705	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2029%20May%202020%2022:25:32%20GMT	https://www.erensibot.com/robots.txt		(from )
02:25:48	18171/18171	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20May%202020%2022:25:33%20GMT	https://www.erensibot.com/	C:/speakturk/ErexisBot/www.erensibot.com/index.html	(from )
02:25:49	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20May%202020%2022:25:49%20GMT	https://cdn.discordapp.com/avatars/689766089567109158/810db71058db7c0062fc1f3b5201b627.png?size=512	C:/speakturk/ErexisBot/cdn.discordapp.com/avatars/689766089567109158/810db71058db7c0062fc1f3b5201b627.15168.delayed	(from https://www.erensibot.com/)
02:25:49	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20May%202020%2022:25:49%20GMT	https://cdn.discordapp.com/avatars/689766089567109158/810db71058db7c0062fc1f3b5201b627.png	C:/speakturk/ErexisBot/cdn.discordapp.com/avatars/689766089567109158/810db71058db7c0062fc1f3b5201b627.png	(from https://www.erensibot.com/)
02:25:50	70158/70158	---M-Z	200	added ('OK')	text/css	etag:%221120e-5e906bd6-5008fa;gz%22	https://www.erensibot.com/css/style.css	C:/speakturk/ErexisBot/www.erensibot.com/css/style.css	(from https://www.erensibot.com/)
02:25:50	8375/8375	---M-Z	200	added ('OK')	application/x-javascript	etag:%2220b7-5e906c02-5008b3;gz%22	https://www.erensibot.com/js/modernizr.custom.js	C:/speakturk/ErexisBot/www.erensibot.com/js/modernizr.custom.js	(from https://www.erensibot.com/)
02:25:50	109512/109512	---MC-	200	added ('OK')	text/javascript	date:Fri,%2029%20May%202020%2022:25:50%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/speakturk/ErexisBot/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.erensibot.com/)
02:25:51	1260/1260	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Fri,%2029%20May%202020%2022:25:35%20GMT	https://www.erensibot.com/destek	C:/speakturk/ErexisBot/www.erensibot.com/destek	(from https://www.erensibot.com/)
02:25:51	101828/101828	---M--	200	added ('OK')	application/x-font-ttf	etag:%2218dc4-5e906bcd-500852;;;%22	https://www.erensibot.com/font.ttf	C:/speakturk/ErexisBot/www.erensibot.com/font.ttf	(from https://www.erensibot.com/)
02:25:51	97166/97166	---M-Z	200	added ('OK')	application/x-javascript	etag:%2217b8e-5e906c02-5008b1;gz%22	https://www.erensibot.com/js/jquery.min.js	C:/speakturk/ErexisBot/www.erensibot.com/js/jquery.min.js	(from https://www.erensibot.com/)
02:25:51	2780/2780	---M-Z	200	added ('OK')	application/x-javascript	etag:%22adc-5e906c01-5008aa;gz%22	https://www.erensibot.com/js/jquery.easings.min.js	C:/speakturk/ErexisBot/www.erensibot.com/js/jquery.easings.min.js	(from https://www.erensibot.com/)
02:25:52	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2029%20May%202020%2022:25:36%20GMT	https://www.erensibot.com/destek/	C:/speakturk/ErexisBot/www.erensibot.com/destek/index.html	(from https://www.erensibot.com/)
02:25:52	50682/50682	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c5fa-5e906c00-5008a6;gz%22	https://www.erensibot.com/js/bootstrap.min.js	C:/speakturk/ErexisBot/www.erensibot.com/js/bootstrap.min.js	(from https://www.erensibot.com/)
02:25:52	9986/9986	---M-Z	200	added ('OK')	application/x-javascript	etag:%222702-5e906c01-5008b2;gz%22	https://www.erensibot.com/js/jquery.countdown.js	C:/speakturk/ErexisBot/www.erensibot.com/js/jquery.countdown.js	(from https://www.erensibot.com/)
02:25:52	113123/113123	---M-Z	200	added ('OK')	application/x-javascript	etag:%221b9e3-5e906c01-5008b6;gz%22	https://www.erensibot.com/js/jquery.fullPage.js	C:/speakturk/ErexisBot/www.erensibot.com/js/jquery.fullPage.js	(from https://www.erensibot.com/)
02:25:52	5606/5606	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215e6-5e906c00-5008a8;gz%22	https://www.erensibot.com/js/constellation.js	C:/speakturk/ErexisBot/www.erensibot.com/js/constellation.js	(from https://www.erensibot.com/)
02:25:53	3055/3055	---M-Z	200	added ('OK')	application/x-javascript	etag:%22bef-5e906c00-5008a0;gz%22	https://www.erensibot.com/js/contact-me.js	C:/speakturk/ErexisBot/www.erensibot.com/js/contact-me.js	(from https://www.erensibot.com/)
02:25:53	1915/1915	---M-Z	200	added ('OK')	application/x-javascript	etag:%2277b-5e906c00-5008a2;gz%22	https://www.erensibot.com/js/classie.js	C:/speakturk/ErexisBot/www.erensibot.com/js/classie.js	(from https://www.erensibot.com/)
02:25:53	5702/5702	---M-Z	200	added ('OK')	application/x-javascript	etag:%221646-5e906c00-500897;gz%22	https://www.erensibot.com/js/dialogFx.js	C:/speakturk/ErexisBot/www.erensibot.com/js/dialogFx.js	(from https://www.erensibot.com/)
02:25:53	6609/6609	---M-Z	200	added ('OK')	application/x-javascript	etag:%2219d1-5e906c02-5008a7;gz%22	https://www.erensibot.com/js/notifyMe.js	C:/speakturk/ErexisBot/www.erensibot.com/js/notifyMe.js	(from https://www.erensibot.com/)
